T0 P0 D18.000000 Z+18.000000 ;18 
T1 P1 D3.000000 Z+0.511000 ;3mm end mill 
T4 P2 D16.000000 Z+10.000000 ;16 mm schaftfräser 
T7 P3 D7.000000 Z+7.000000 ;7 
T5 P4 D25.000000 Z+25.000000 ;25'er fräser 
T6 P6 D6.000000 Z+6.000000 ;tool 6 
T2 P7 D1.500000 Z+0.100000 ;1.5mm  end mill 
T3 P8 D5.000000 Z+1.273000 ;5mm tap drill 
T9 P9 D9.000000 Z+9.000000 ;9 
T8 P10 D8.000000 Z+8.000000 ;8 
T11 P11 D11.000000 Z+11.000000 ;11 
T12 P12 D12.000000 Z+12.000000 ;12 
T13 P13 D13.000000 Z+13.000000 ;13 
T14 P14 D14.000000 Z+14.000000 ;14 
T15 P15 D15.000000 Z+15.000000 ;15 
T16 P16 D16.000000 Z+16.000000 ;16 
T17 P17 D17.000000 Z+17.000000 ;17 
T10 P18 D10.000000 Z+10.000000 ;10 
T19 P19 D19.000000 Z+19.000000 ;19 
T20 P20 D20.000000 Z+20.000000 ;20 
T21 P21 D21.000000 Z+21.000000 ;21 
T22 P22 D22.000000 Z+22.000000 ;22 
T23 P23 D23.000000 Z+23.000000 ;23 
T24 P24 D24.000000 Z+24.000000 ;24 
